DocumentID,spam,external,internal,foreign_language,too_short,repeated_characters,repeated_lines,html,phone_number,links,author_account_age,author_n_logins,author_uploaded_docs,author_spam,author_published_docs,author_valid_email_address,author_email_domain,author_plan_at_submission,document_n_words,document_format,document_upload_method
68158909,0,0,0,0,0,0,0,0,0,0,27,1,1,,0,1,pcpro4u.com,free,17695,pdf,upload
68180008,0,0,0,0,1,0,0,0,0,0,27,1,1,,0,1,gmail.com,free,21,docx,upload
68181283,0,1,1,0,0,0,0,0,1,0,37,2,2,,1,1,gmail.com,free,310385,pdf,upload
68184106,0,0,0,1,0,0,0,0,0,0,27,1,1,,0,1,yahoo.com,free,624,docx,upload
68187037,0,0,0,0,0,0,0,0,0,0,26,1,1,,0,1,gmail.com,free,506,doc,upload
68189368,0,1,1,0,0,0,0,0,0,0,26,1,13,,12,1,gmail.com,free,2590,pdf,upload
68190535,0,0,0,0,1,0,1,0,0,0,26,1,1,,0,1,gmail.com,free,0,pdf,upload
68201260,0,0,0,0,1,0,0,0,0,0,26,4,4,,0,1,gmail.com,free,39,pdf,google_drive
68214469,0,1,1,0,0,0,0,0,0,0,26,1,2,,1,1,yahoo.com,free,838,pdf,dropbox
68218933,0,1,1,0,0,0,0,0,0,0,26,2,2,,0,1,yahoo.com,free,292,docx,upload
68231662,0,0,0,0,1,1,0,0,0,0,25,1,1,,0,1,gmail.com,free,170,docx,upload
68251807,0,1,1,0,0,0,0,0,0,0,25,1,4,,0,1,yahoo.com,free,838,pdf,dropbox
68254363,0,1,1,0,0,0,0,0,1,1,25,1,1,,0,1,yahoo.com,free,164777,pdf,upload
68254702,0,1,1,0,0,1,0,0,1,1,25,1,1,,0,1,gmail.com,free,57130,doc,google_drive
68255980,0,0,0,0,1,0,0,0,0,0,30,2,2,,1,1,gmail.com,free,171,pdf,google_drive
68256070,0,0,0,0,0,0,1,0,0,0,388,3,3,,2,1,hotmail.com,free,879,docx,upload
68256385,0,0,0,0,1,0,0,0,0,0,24,1,1,,0,1,gmail.com,free,63,docx,upload
68259421,0,1,1,0,0,0,0,0,0,1,96,17,206,,190,1,gmail.com,free,2396,doc,upload
68266813,0,0,0,1,0,0,0,0,0,0,24,2,1,,0,1,gmail.com,free,686,ppt,upload
68284570,0,1,1,0,0,0,0,0,0,0,548,3,107,,10,1,gmail.com,free,1430,docx,upload
68285014,0,1,1,0,0,0,0,0,0,0,548,3,107,,57,1,gmail.com,free,1580,docx,upload
68306740,0,0,0,0,0,0,0,0,0,0,24,2,1,,0,1,yahoo.com,free,264,docx,upload
68315416,0,0,0,0,1,0,0,0,0,0,23,1,1,,0,1,yahoo.com,free,229,pdf,google_drive
68316682,0,1,1,0,0,0,0,0,0,0,23,1,1,,0,1,hotmail.com,free,798,pdf,upload
68317768,0,0,0,0,1,0,1,0,0,0,23,1,1,,0,1,gmail.com,free,0,pdf,upload
